iter	MultiClass
0	1.085973388
1	1.066338329
2	1.04711732
3	1.028303978
4	1.009891803
5	0.9983164163
6	0.9805478279
7	0.9695213766
8	0.9523742892
9	0.9355997592
10	0.9191909445
11	0.9089060074
12	0.8930810916
13	0.8776037879
14	0.8624672308
15	0.8476645743
16	0.8384786555
17	0.8242052533
18	0.8102479477
19	0.7966000365
20	0.7832548757
21	0.7702058865
22	0.757446561
23	0.7449704681
24	0.7327712577
25	0.7208426661
26	0.7091785188
27	0.697772735
28	0.6866193299
29	0.6757124176
30	0.665046213
31	0.654615034
32	0.6480273218
33	0.6379698669
34	0.6281329437
35	0.6185112539
36	0.6124909561
37	0.6032097497
38	0.5973657629
39	0.5884126421
40	0.5796533559
41	0.5710831678
42	0.5626974474
43	0.5544916689
44	0.5464614104
45	0.5386023529
46	0.530910279
47	0.5233810715
48	0.5160107122
49	0.5087952803
