iter	Passed	Remaining
0	145	7117
1	146	3506
2	146	2298
3	147	1693
4	147	1329
5	148	1085
6	148	910
7	148	778
8	148	676
9	148	594
10	148	527
11	149	471
12	149	424
13	149	384
14	149	348
15	149	318
16	149	290
17	150	266
18	150	245
19	150	225
20	150	207
21	150	191
22	150	177
23	151	163
24	151	151
25	151	139
26	151	129
27	152	119
28	152	110
29	152	101
30	152	93
31	153	86
32	153	79
33	153	72
34	154	66
35	154	59
36	154	54
37	154	48
38	154	43
39	154	38
40	154	34
41	155	29
42	155	25
43	155	21
44	155	17
45	156	13
46	156	9
47	156	6
48	156	3
49	156	0
